run_index,sample_id,shape,mapping_id,condition,ground_truth,visual_target,stimulus_key,image_path,decision_prompt
1,E0V2_02,circle,M1,benign,A,,circle_benign,data/images/e0_v2/E0V2_02_circle_M1_benign.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 A，三角形对应类别 B。
请仅输出一个字母：A 或 B。"
2,E0V2_08,triangle,M1,conflict,B,A,triangle_visual_A,data/images/e0_v2/E0V2_08_triangle_M1_conflict.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 A，三角形对应类别 B。
请仅输出一个字母：A 或 B。"
3,E0V2_15,triangle,M2,congruent,A,A,triangle_visual_A,data/images/e0_v2/E0V2_15_triangle_M2_congruent.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 B，三角形对应类别 A。
请仅输出一个字母：A 或 B。"
4,E0V2_12,circle,M2,conflict,B,A,circle_visual_A,data/images/e0_v2/E0V2_12_circle_M2_conflict.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 B，三角形对应类别 A。
请仅输出一个字母：A 或 B。"
5,E0V2_16,triangle,M2,conflict,A,B,triangle_visual_B,data/images/e0_v2/E0V2_16_triangle_M2_conflict.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 B，三角形对应类别 A。
请仅输出一个字母：A 或 B。"
6,E0V2_10,circle,M2,benign,B,,circle_benign,data/images/e0_v2/E0V2_10_circle_M2_benign.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 B，三角形对应类别 A。
请仅输出一个字母：A 或 B。"
7,E0V2_01,circle,M1,clean,A,,circle_clean,data/images/e0_v2/E0V2_01_circle_M1_clean.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 A，三角形对应类别 B。
请仅输出一个字母：A 或 B。"
8,E0V2_05,triangle,M1,clean,B,,triangle_clean,data/images/e0_v2/E0V2_05_triangle_M1_clean.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 A，三角形对应类别 B。
请仅输出一个字母：A 或 B。"
9,E0V2_09,circle,M2,clean,B,,circle_clean,data/images/e0_v2/E0V2_09_circle_M2_clean.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 B，三角形对应类别 A。
请仅输出一个字母：A 或 B。"
10,E0V2_07,triangle,M1,congruent,B,B,triangle_visual_B,data/images/e0_v2/E0V2_07_triangle_M1_congruent.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 A，三角形对应类别 B。
请仅输出一个字母：A 或 B。"
11,E0V2_14,triangle,M2,benign,A,,triangle_benign,data/images/e0_v2/E0V2_14_triangle_M2_benign.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 B，三角形对应类别 A。
请仅输出一个字母：A 或 B。"
12,E0V2_11,circle,M2,congruent,B,B,circle_visual_B,data/images/e0_v2/E0V2_11_circle_M2_congruent.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 B，三角形对应类别 A。
请仅输出一个字母：A 或 B。"
13,E0V2_03,circle,M1,congruent,A,A,circle_visual_A,data/images/e0_v2/E0V2_03_circle_M1_congruent.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 A，三角形对应类别 B。
请仅输出一个字母：A 或 B。"
14,E0V2_06,triangle,M1,benign,B,,triangle_benign,data/images/e0_v2/E0V2_06_triangle_M1_benign.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 A，三角形对应类别 B。
请仅输出一个字母：A 或 B。"
15,E0V2_13,triangle,M2,clean,A,,triangle_clean,data/images/e0_v2/E0V2_13_triangle_M2_clean.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 B，三角形对应类别 A。
请仅输出一个字母：A 或 B。"
16,E0V2_04,circle,M1,conflict,A,B,circle_visual_B,data/images/e0_v2/E0V2_04_circle_M1_conflict.png,"这是一个图形分类任务。
请根据图片中央的主体形状完成分类。
圆形对应类别 A，三角形对应类别 B。
请仅输出一个字母：A 或 B。"
