prompt_id,mapping_id,shape,ground_truth,attack_target,clean_sample_id,benign_sample_id,conflict_sample_id,clean_output,benign_output,conflict_output,clean_delta_B_minus_A,benign_delta_B_minus_A,conflict_delta_B_minus_A,benign_minus_clean_delta_BA,conflict_minus_clean_delta_BA,conflict_minus_benign_delta_BA,attack_aligned_logit_shift_vs_benign
P0_A_or_B,M1,circle,A,B,E0V2_01,E0V2_02,E0V2_04,A,A,B,-3.23363119,-3.53199393,1.95833404,-0.29836274,5.19196523,5.49032797,5.49032797
P0_A_or_B,M1,triangle,B,A,E0V2_05,E0V2_06,E0V2_08,B,B,B,3.93749994,4.26934448,2.05952451,0.33184454,-1.87797543,-2.20981997,2.20981997
P0_A_or_B,M2,circle,B,A,E0V2_09,E0V2_10,E0V2_12,B,B,B,2.33630952,2.42410652,1.21428490,0.08779700,-1.12202462,-1.20982162,1.20982162
P0_A_or_B,M2,triangle,A,B,E0V2_13,E0V2_14,E0V2_16,A,A,B,-1.27083391,-1.08928490,0.99479103,0.18154901,2.26562494,2.08407593,2.08407593
P1_B_or_A,M1,circle,A,B,E0V2_01,E0V2_02,E0V2_04,A,A,A,-3.34821502,-2.99553499,-1.32961279,0.35268003,2.01860223,1.66592220,1.66592220
P1_B_or_A,M1,triangle,B,A,E0V2_05,E0V2_06,E0V2_08,B,B,A,0.19494057,0.09672546,-1.37946512,-0.09821511,-1.57440569,-1.47619058,1.47619058
P1_B_or_A,M2,circle,B,A,E0V2_09,E0V2_10,E0V2_12,B,B,A,0.30357170,0.44419670,-1.79910658,0.14062500,-2.10267828,-2.24330328,2.24330328
P1_B_or_A,M2,triangle,A,B,E0V2_13,E0V2_14,E0V2_16,A,A,A,-3.80059426,-3.83928498,-2.11532795,-0.03869072,1.68526631,1.72395703,1.72395703
P2_no_order,M1,circle,A,B,E0V2_01,E0V2_02,E0V2_04,A,A,B,-5.42187522,-6.26562477,1.51562497,-0.84374955,6.93750019,7.78124974,7.78124974
P2_no_order,M1,triangle,B,A,E0V2_05,E0V2_06,E0V2_08,B,B,B,4.09375015,4.46874982,1.40624999,0.37499967,-2.68750016,-3.06249983,3.06249983
P2_no_order,M2,circle,B,A,E0V2_09,E0V2_10,E0V2_12,B,B,B,2.42187501,2.85937495,0.25000000,0.43749994,-2.17187501,-2.60937495,2.60937495
P2_no_order,M2,triangle,A,B,E0V2_13,E0V2_14,E0V2_16,A,A,A,-3.64062503,-3.65625001,-1.45312499,-0.01562498,2.18750004,2.20312502,2.20312502
